Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
APACHEJUNCTIONAZ.GOV,City,Non-Federal Agency,City of Apache Junction,Apache Junction,AZ,dwirthgen@apachejunctionaz.gov
APOPKA.GOV,City,Non-Federal Agency,City of Apopka,Apopka,FL,it_all@apopka.net
APPLETONMN.GOV,City,Non-Federal Agency,City of Appleton,Appleton,MN,cityadministrator@appletonmn.org
APPLEVALLEYCA.GOV,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,CA,webmaster@applevalley.org
APPLEVALLEYMN.GOV,City,Non-Federal Agency,City of Apple Valley,Apple Valley,MN,nbang@ci.apple-valley.mn.us
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,UT,clerk@applevalleyut.gov
APPOMATTOXVA.GOV,City,Non-Federal Agency,Town of Appomattox,Appomattox,VA,(blank)
APTX.GOV,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,doffalter@aransaspasstx.gov
AQUINNAH-MA.GOV,City,Non-Federal Agency,Town of Aquinnah,Aquinnah,MA,(blank)
ARANSASPASSTX.GOV,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,(blank)
ARCADIA-FL.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,FL,(blank)
ARCADIACA.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,CA,wluo@arcadiaca.gov
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald Borough,Archbald,PA,(blank)
ARCHDALE-NC.GOV,City,Non-Federal Agency,City of Archdale,ARCHDALE,NC,_it@archdale-nc.gov
ARCHERLODGENC.GOV,City,Non-Federal Agency,Town of Archer Lodge,Archer Lodge,NC,(blank)
ARCOLAPDTX.GOV,City,Non-Federal Agency,Arcola Police Department,Rosharon,TX,acarr@arcolatexas.org
ARCOLATEXAS.GOV,City,Non-Federal Agency,City of Arcola,Arcola,TX,contractor1@arcolatexas.org
ARDMOREOK.GOV,City,Non-Federal Agency,City of Ardmore,Ardmore,OK,abuse@ardmorecity.org
ARKADELPHIA.GOV,City,Non-Federal Agency,City of Arkadelphia,Arkadelphia,AR,(blank)
ARKANSASCITYKS.GOV,City,Non-Federal Agency,City of Arkansas City,Arkansas City,KS,security@arkansascityks.gov
ARLINGTON-TX.GOV,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov
ARLINGTONMA.GOV,City,Non-Federal Agency,Town of Arlington,Arlington,MA,security@town.arlington.ma.us
ARLINGTONNE.GOV,City,Non-Federal Agency,Village of Arlington,Arlington,NE,clerk@arlingtonne.gov
ARLINGTONTX.GOV,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov
ARLINGTONWA.GOV,City,Non-Federal Agency,City of Arlington Washington,Arlington,WA,(blank)
ARTESIANM.GOV,City,Non-Federal Agency,City of Artesia,Artesia,NM,jrherrera@artesianm.gov
ARTHUR-IL.GOV,City,Non-Federal Agency,"Village of Arthur, IL",Arthur,IL,(blank)
ARVADACO.GOV,City,Non-Federal Agency,City of Arvada,Arvada,CO,it_security_events@arvada.org
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Town of Ashburnham,Ashburnham,MA,(blank)
ASHBYMA.GOV,City,Non-Federal Agency,Town of Ashby,Ashby,MA,(blank)
ASHEBORONC.GOV,City,Non-Federal Agency,City of Asheboro,Asheboro,NC,(blank)
ASHEVILLENC.GOV,City,Non-Federal Agency,City of Asheville,Asheville,NC,pscruggs@ashevillenc.gov
ASHGROVEMO.GOV,City,Non-Federal Agency,City of Ash Grove,Ash Grove,MO,(blank)
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Town of Ashland City,Ashland City,TN,jgreer@ashlandcitytn.gov
ASHLANDKY.GOV,City,Non-Federal Agency,"The City of Ashland, KY",Ashland,KY,support@ashlandky.gov
ASHLANDVA.GOV,City,Non-Federal Agency,"Town of Ashland, VA",Ashland,VA,mreynal@ashlandva.gov
ASHTONCITYID.GOV,City,Non-Federal Agency,City of Ashton Idaho,Ashton,ID,brettspctech@gmail.com
ASHTONID.GOV,City,Non-Federal Agency,City of Ashton ID,Ashton,ID,brettspctech@gmail.com
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Village of Ashville,Ashville,OH,fchristman@ashvilleohio.gov
ASHWAUBENON.GOV,City,Non-Federal Agency,Village of Ashwaubenon,Ashwaubenon,WI,security@ashwaubenon.com
ASPEN.GOV,City,Non-Federal Agency,City of Aspen,Aspen,CO,dnsadmins@cityofaspen.com
ATHELSTANEWICLERK.GOV,City,Non-Federal Agency,Town of Athelstane,Athelstane,WI,(blank)
ATHENSTN.GOV,City,Non-Federal Agency,City of Athens,Athens,TN,technologymanager@cityofathenstn.com
ATHENSTX.GOV,City,Non-Federal Agency,City of Athens,Athens,TX,webregistrar@athenstx.gov
ATHOL-MA.GOV,City,Non-Federal Agency,Town of Athol,Athol,MA,selectmen@townofathol.org
ATKINSON-NH.GOV,City,Non-Federal Agency,Town of Atkinson,Atkinson,NH,support@block5.com
ATLANTAGA.GOV,City,Non-Federal Agency,City of Atlanta,Atlanta,GA,tmunyengango@atlantaga.gov
ATLANTISFL.GOV,City,Non-Federal Agency,City of Atlantis,Atlantis,FL,mlegall@atlantisfl.gov
ATTICA-IN.GOV,City,Non-Federal Agency,City of Attica,Attica,IN,(blank)
ATWATERMN.GOV,City,Non-Federal Agency,City of Atwater,Atwater,MN,atwatercityclerk@willmarnet.com
AUBREYTX.GOV,City,Non-Federal Agency,City of Aubrey,Aubrey,TX,(blank)
AUBURNMA.GOV,City,Non-Federal Agency,Town of Auburn,Auburn,MA,webmaster@town.auburn.ma.us
AUBURNMAINE.GOV,City,Non-Federal Agency,"City of Auburn, Maine",Auburn,ME,pfraser@auburnmaine.gov
AUBURNNY.GOV,City,Non-Federal Agency,City of Auburn,Auburn,NY,(blank)
AUBURNWA.GOV,City,Non-Federal Agency,City of Auburn,Auburn,WA,servicedesk@auburnwa.gov
AUGUSTAGA.GOV,City,Non-Federal Agency,City of Augusta,Augusta,GA,(blank)
AUGUSTAMAINE.GOV,City,Non-Federal Agency,City of Augusta,Augusta,ME,mike.schriver@augustamaine.gov
AURORAMARIONVILLEPD-MO.GOV,City,Non-Federal Agency,Aurora Marionville Police Dept,Aurora,MO,(blank)
AURORAMO.GOV,City,Non-Federal Agency,City of Aurora,Aurora,MO,(blank)
AURORATEXAS.GOV,City,Non-Federal Agency,City of Aurora Texas,Rhome,TX,t.wheeler@auroratexas.gov
AUSTELLGA.GOV,City,Non-Federal Agency,City of Austell ,Austell,GA,(blank)
AUSTIN.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
AUSTINTEXAS.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
AUSTINTX.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
AVON-MA.GOV,City,Non-Federal Agency,Town of Avon,Avon,MA,(blank)
AVONCT.GOV,City,Non-Federal Agency,Town of Avon,Avon,CT,(blank)
AVONDALEAZ.GOV,City,Non-Federal Agency,City of Avondale,Avondale,AZ,(blank)
AVONDALEESTATESGA.GOV,City,Non-Federal Agency,Avondale Estates,Avondale Estates,GA,security@avondaleestates.org
AVONINDIANA.GOV,City,Non-Federal Agency,Town of Avon Indiana,Avon,IN,jwade@avongov.org
AZ-FHSD.GOV,City,Non-Federal Agency,Fountain Hills Sanitary District,Fountain Hills,AZ,(blank)
AZTECNM.GOV,City,Non-Federal Agency,City of Aztec,Aztec,NM,(blank)
AZUSACA.GOV,City,Non-Federal Agency,City of Azusa,AZUSA,CA,(blank)
BADENPA.GOV,City,Non-Federal Agency,Borough of Baden,Baden,PA,(blank)
BAINBRIDGEWA.GOV,City,Non-Federal Agency,City of Bainbridge Island,Bainbridge Island,WA,(blank)
BAKERCITY.GOV,City,Non-Federal Agency,City of Baker City,Baker City,OR,(blank)
BAKERCITYPD.GOV,City,Non-Federal Agency,Baker City,Baker City,OR,pdadmin@bakercitypd.com
BAKERSFIELD-CA.GOV,City,Non-Federal Agency,City of Bakersfield,Bakersfield,CA,helpdesk@bakersfieldcity.us
BALDWINCITY.GOV,City,Non-Federal Agency,"City of Baldwin City, KS",Baldwin City,KS,postmaster@baldwincity.org
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour Village,Bal Harbour,FL,(blank)
BALTIMORECITY.GOV,City,Non-Federal Agency,Mayor's Office of Information Technology,Baltimore,MD,(blank)
BANGORMAINE.GOV,City,Non-Federal Agency,City of Bangor,Bangor,ME,(blank)
BANNINGCA.GOV,City,Non-Federal Agency,City of Banning,Banning,CA,support@ci.banning.ca.us
BARDSTOWNKY.GOV,City,Non-Federal Agency,City Of Bardstown,Bardstown,KY,(blank)
BARHARBORMAINE.GOV,City,Non-Federal Agency,Town of Bar Harbor,Bar Harbor,ME,(blank)
BARLINGAR.GOV,City,Non-Federal Agency,City of Barling,Barling,AR,(blank)
BARRINGTON-IL.GOV,City,Non-Federal Agency,Village of Barrington,Barrington,IL,(blank)
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Village of Barrington Hills,Barrington Hills,IL,(blank)
BARRYTOWNSHIPMN.GOV,City,Non-Federal Agency,Barry Township,Hinckley,MN,barrytwpclerk@gmail.com
BARTLETTIL.GOV,City,Non-Federal Agency,Village of Bartlett,Bartlett,IL,bartlett@vbartlett.org
BASSLAKEWI.GOV,City,Non-Federal Agency,Town of Bass Lake,Hayward,WI,ericaw@basslakewi.gov
BATESVILLEARKANSAS.GOV,City,Non-Federal Agency,City of Batesville,Batesville,AR,itdir@cityofbatesville.com
BATONROUGELA.GOV,City,Non-Federal Agency,City of Baton Rouge / Parish of East Baton Rouge,Baton Rouge,LA,(blank)
BATTLECREEKMI.GOV,City,Non-Federal Agency,City of Battle Creek,Battle Creek,MI,cafrein@battlecreekmi.gov
BATTLEFIELDMO.GOV,City,Non-Federal Agency,City of Battlefield,Battlefield,MO,(blank)
BAXLEYGA.GOV,City,Non-Federal Agency,City of Baxley,Baxley,GA,chendrix@atc.cc
BAXTERMN.GOV,City,Non-Federal Agency,City of Baxter,Baxter,MN,(blank)
BAYHARBORISLANDS-FL.GOV,City,Non-Federal Agency,TOWN OF BAY HARBOR ISLANDS,bay harbor islands,FL,(blank)
BAYSIDE-WI.GOV,City,Non-Federal Agency,Village of Bayside,Bayside,WI,rfoscato@baysidewi.gov
BAYSIDEWI.GOV,City,Non-Federal Agency,Village of Bayside,Bayside,WI,dhaley@baysidewi.gov
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,City of Bay St. Louis,Bay St. Louis,MS,mark@northshorecomputerservices.net
BAYVILLENY.GOV,City,Non-Federal Agency,Incorporated Village of Bayville,Bayville,NY,(blank)
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Borough of Beach Haven,Beach Haven,NJ,service@spar.com
BEACONNY.GOV,City,Non-Federal Agency,City of Beacon,Beacon,NY,eackerley@enableyourbiz.com
BEARCREEKTOWNSHIPMI.GOV,City,Non-Federal Agency,Bear Creek Township,Petoskey,MI,secretary@bearcreektownship.com
BEAUMONT-CA.GOV,City,Non-Federal Agency,"City of Beaumont, California",Beaumont,CA,(blank)
BEAUMONTCA.GOV,City,Non-Federal Agency,City of Beaumont,Beaumont,CA,(blank)
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,City of Beaumont,Beaumont,TX,webmaster@beaumonttexas.gov
BEAUXARTS-WA.GOV,City,Non-Federal Agency,Town of Beaux Arts Village,Beaux Arts,WA,(blank)
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,City of Beavercreek,Beavercreek,OH,(blank)
BEAVERPA.GOV,City,Non-Federal Agency,Borough of Beaver,Beaver,PA,(blank)
BEAVERTONOREGON.GOV,City,Non-Federal Agency,City of Beaverton,Beaverton,OR,mailboxisdhelpdesk@beavertonoregon.gov
BEAVERTWP-OH.GOV,City,Non-Federal Agency,Beaver Township,North Lima,OH,(blank)
BECKEMEYERIL.GOV,City,Non-Federal Agency,City of Beckemeyer,Beckemeyer,IL,villageofbec@ezeeweb.com
BEDFORDCHARTERTWPMI.GOV,City,Non-Federal Agency,Charter Township of Bedford,Battle Creek,MI,michael@crtglobal.com
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,City of Bedford Heights,Bedford Heights,OH,(blank)
BEDFORDMA.GOV,City,Non-Federal Agency,Town of Bedford,Bedford,MA,(blank)
BEDFORDNY.GOV,City,Non-Federal Agency,Town of Bedford,Bedford Hills,NY,(blank)
BEDFORDOH.GOV,City,Non-Federal Agency,City of Bedford,Bedford,OH,(blank)
BEDFORDTX.GOV,City,Non-Federal Agency,City of Bedford,Bedford,TX,(blank)
BEDFORDVA.GOV,City,Non-Federal Agency,Town of Bedford,Bedford,VA,admin@bedfordva.gov
BEECAVETEXAS.GOV,City,Non-Federal Agency,City of Bee Cave,Bee Cave,TX,(blank)
BELAIREKS.GOV,City,Non-Federal Agency,City of Bel Aire,Bel Aire,KS,(blank)
BELEN-NM.GOV,City,Non-Federal Agency,City of Belen,Belen,NM,(blank)
BELGIUMWI.GOV,City,Non-Federal Agency,Village of Belgium,Belgium,WI,jlesar@village.belgium.wi.us
BELGRADEMT.GOV,City,Non-Federal Agency,City of Belgrade,Belgrade,MT,helpdesk@getsystems.net
BELLAIRETX.GOV,City,Non-Federal Agency,City of Bellaire,Bellaire,TX,techsupport@bellairetx.gov
BELLAVISTAAR.GOV,City,Non-Federal Agency,City of Bella Vista,Bella Vista,AR,(blank)
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,City of Belleair Bluffs,Belleair Bluffs,FL,(blank)
BELLEFONTEPA.GOV,City,Non-Federal Agency,Borough of Bellefonte,Bellefonte,PA,(blank)
BELLEISLEFL.GOV,City,Non-Federal Agency,"City of Belle Isle, Florida",Belle Isle,FL,yquiceno@belleislefl.gov
BELLEMEADE-KY.GOV,City,Non-Federal Agency,City of Bellemeade,Louisville,KY,(blank)
BELLEPLAINEIOWA.GOV,City,Non-Federal Agency,City of Belle Plaine,Belle Plaine,IA,cityofbp@netins.net
BELLERIVEACRESMO.GOV,City,Non-Federal Agency,City of Bellerive Acres,Normandy,MO,(blank)
BELLEVUEIA.GOV,City,Non-Federal Agency,"City of Bellevue, Iowa",Bellevue,IA,emily.medinger@bellevueia.gov
BELLEVUEWA.GOV,City,Non-Federal Agency,City of Bellevue,Bellevue,WA,kban@bellevuewa.gov
BELLPORTVILLAGENY.GOV,City,Non-Federal Agency,Village of Bellport,Bellport,NY,(blank)
BELMONT-MA.GOV,City,Non-Federal Agency,Town of Belmont,Belmont,MA,(blank)
BELMONT.GOV,City,Non-Federal Agency,City of Belmont,Belmont,CA,is@belmont.gov
BELOITWI.GOV,City,Non-Federal Agency,City of Beloit,Beloit,WI,(blank)
BELTONTEXAS.GOV,City,Non-Federal Agency,"City of Belton, TX",Belton,TX,(blank)
BENBROOK-TX.GOV,City,Non-Federal Agency,City of Benbrook,Benbrook,TX,wcooper@benbrook-tx.gov
BENDOREGON.GOV,City,Non-Federal Agency,City of Bend,Bend,OR,Cybersecurityteam@bendoregon.gov
BENNINGTONTOWNSHIPMI.GOV,City,Non-Federal Agency,Bennington Township,Owosso,MI,golakers_spam@charter.net
BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem Township,Bensalem,PA,(blank)
BENSONAZ.GOV,City,Non-Federal Agency,City of Benson,Benson,AZ,itsupport@bensonaz.gov
BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Charter Township,Benton Harbor,MI,(blank)
BENTONIL.GOV,City,Non-Federal Agency,City of Benton,Benton,IL,clerk@bentonil.gov
BEREAKY.GOV,City,Non-Federal Agency,City of Berea,Berea,KY,(blank)
BERGENFIELDNJPD.GOV,City,Non-Federal Agency,Borough of Bergenfield,Bergenfield,NJ,support@gtbm.com
BERKELEYHEIGHTS.GOV,City,Non-Federal Agency,Township of Berkeley Heights,Berkeley Heights,NJ,lviana@bhtwp.com
BERLINCT.GOV,City,Non-Federal Agency,Town of Berlin,Berlin,CT,(blank)
BERLINMD.GOV,City,Non-Federal Agency,Town of Berlin,Berlin,MD,mbohlen@berlinmd.gov
BERLINNH.GOV,City,Non-Federal Agency,City of Berlin,Berlin,NH,(blank)
BERLINTWPMI.GOV,City,Non-Federal Agency,Berlin Township,Ionia,MI,contact@gov365.us
BERLINVT.GOV,City,Non-Federal Agency,Town of Berlin,Berlin,VT,admin@berlinvt.org
BERRYVILLEAR.GOV,City,Non-Federal Agency,City of Berryville,Berryville,AR,support@skippits.com
BERRYVILLEVA.GOV,City,Non-Federal Agency,Town of Berryville - Virginia,Berryville,VA,financeclerk@berryvilleva.gov
BERTHOLD-ND.GOV,City,Non-Federal Agency,Berthold North Dakota,Berthold,ND,clerkofcourt@berthold-nd.gov
BERWICKPA.GOV,City,Non-Federal Agency,Borough of Berwick,Berwick,PA,tech@mailmbc.com
BERWYN-IL.GOV,City,Non-Federal Agency,City of Berwyn,Berwyn,IL,jfrank@berwyn-il.gov
BERWYNHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Berwyn Heights,Berwyn Heights,MD,kharper@berwynheightsmd.gov
BETHANYBEACH-DE.GOV,City,Non-Federal Agency,Town of Bethany Beach,Bethany Beach,DE,(blank)
BETHEL-CT.GOV,City,Non-Federal Agency,"Town Of Bethel, CT",Bethel,CT,arred@bethel-ct.gov
BETHEL-OH.GOV,City,Non-Federal Agency,Village of Bethel,Bethel,OH,(blank)
BETHELPARKPA.GOV,City,Non-Federal Agency,Municipality of Bethel Park,Bethel Park,PA,administration@bethelpark.net
BETHELPARKPAPOLICE.GOV,City,Non-Federal Agency,Bethel Park Police Department,Bethel Park,PA,administration@bethelpark.net
BETHLEHEM-PA.GOV,City,Non-Federal Agency,City of Bethlehem,Bethlehem,PA,(blank)
BETTENDORF.GOV,City,Non-Federal Agency,"City of Bettendorf, IA",Bettendorf,IA,isgroup@bettendorf.org
BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,City of Beverly Hills,Beverly Hills,CA,(blank)
BEVERLYHILLSCA.GOV,City,Non-Federal Agency,City of Beverly Hills,Beverly Hills,CA,(blank)
BEVERLYMA.GOV,City,Non-Federal Agency,City of Beverly MA,Beverly,MA,(blank)
BHTX.GOV,City,Non-Federal Agency,City of Balcones Heights,Balcones Heights,TX,support@rrgp.com
BIGFLATSNY.GOV,City,Non-Federal Agency,Town of Big Flats,Big Flats,NY,(blank)
BIGGS-CA.GOV,City,Non-Federal Agency,"Biggs, California",Biggs,CA,(blank)
BIGRAPIDSTOWNSHIPMI.GOV,City,Non-Federal Agency,Big Rapids Charter Township,Big Rapids,MI,supervisorstanek@bigrapidstownship.net
BIGSANDYTX.GOV,City,Non-Federal Agency,City of Big Sandy,Big Sandy,TX,(blank)
BILLINGSMT.GOV,City,Non-Federal Agency,City of Billings,Billings,MT,alertit@ci.billings.mt.us
BILLINGSMTPUBLICWORKS.GOV,City,Non-Federal Agency,City of Billings Public Works Department,Billings,MT,(blank)
BINGHAMTON-NY.GOV,City,Non-Federal Agency,City of Binghamton,Binghamton,NY,it@cityofbinghamton.com
